StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IC,C_Time_Vign_male_First_Click,C_Time_Vign_male_Last_Click,C_Time_Vign_male_Page_Submit,C_Time_Vign_male_Click_Count,C_AC_m_1,Ch_LoEf_m_1,Ch_LoEf_m_2,Ch_LoEf_m_3,Ch_LoEf_m_4,Ch_LoEf_m_5,Ch_LoEf_m_6,Ch_LoEf_m_7,Ch_LoEf_m_8,Ch_LoEf_m_9,Ch_LoEf_m_10,Ch_LoEf_m_11,Ch_LoEf_m_12,Ch_LoEf_m_13,Ch_LoEf_m_14,Ch_LoEf_m_15,Ch_HiEf_1,Ch_HiEf_2,Ch_HiEf_3,Ch_HiEf_4,Ch_HiEf_5,Ch_HiEf_6,Ch_HiEf_7,Ch_HiEf_8,Ch_HiEf_9,Ch_HiEf_10,Ch_HiEf_11,Ch_HiEf_12,Ch_HiEf_13,Ch_HiEf_14,Ch_HiEf_15,C_Ef_LoEf_m,C_Ef_HiEf_m,C_Qu_LoEf_m,C_Qu_HiEf_m,C_Dif_LoEf_m,C_Dif_HiEf_m,C_Val_LoEf_m,C_Val_HiEf_m,C_AC_m_2,C_Sal_LoEf_1,C_Sal_HiEf_1,C_Coop_loEf_m,C_Coop_hiEf_m,Time_Vign_female_First_Click,Time_Vign_female_Last_Click,Time_Vign_female_Page_Submit,Time_Vign_female_Click_Count,C_AC_f_1,Ch_LoEf_f_1,Ch_LoEf_f_2,Ch_LoEf_f_3,Ch_LoEf_f_4,Ch_LoEf_f_5,Ch_LoEf_f_6,Ch_LoEf_f_7,Ch_LoEf_f_8,Ch_LoEf_f_9,Ch_LoEf_f_10,Ch_LoEf_f_11,Ch_LoEf_f_12,Ch_LoEf_f_13,Ch_LoEf_f_14,Ch_LoEf_f_15,Ch_HiEf_1.0,Ch_HiEf_2.0,Ch_HiEf_3.0,Ch_HiEf_4.0,Ch_HiEf_5.0,Ch_HiEf_6.0,Ch_HiEf_7.0,Ch_HiEf_8.0,Ch_HiEf_9.0,Ch_HiEf_10.0,Ch_HiEf_11.0,Ch_HiEf_12.0,Ch_HiEf_13.0,Ch_HiEf_14.0,Ch_HiEf_15.0,C_Ef_LoEf_f,C_Ef_HiEf_f,C_Qu_LoEf_f,C_Qu_HiEf_f,C_Dif_LoEf_f,C_Dif_HiEf_f,C_Val_LoEf_f,C_Val_HiEf_f,C_AC_f_2,C_Sal_LoEf_f_1,C_Sal_HiEf_f_1,C_Coop__LoEf_f,C_Coop__HiEf_f,Age,Gen,Gen_3_TEXT,Nat,Cou,Lan,Edu,Lad,FB,SC0
2024-09-16 15:08:10,2024-09-16 15:08:10,2,,100,0,1,2024-09-16 15:08:10,R_9ZbjDJUtacoOUJM,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,6.09,5.99,20,1,6,3,5,1,6,5,5,7,2,4,2,2,1,3,3,4,3,1,4,5,5,2,5,5,3,7,5,1,4,5,4,5,2,5,2,6,5,7,1,40,30,5,2,82,4,,TEXT,TEXT,1,1,10,"Pellentesque elementum quis amet fusce tempus lectus pede etiam, accusamus. Augue donec? Dictumst.",169
2024-09-16 15:08:10,2024-09-16 15:08:10,2,,100,0,1,2024-09-16 15:08:11,R_dma1dBkVzcSjqLk,,,,,,,test,,1,9.15,9.89,9.68,3,1,1,5,7,3,6,1,5,6,6,3,1,3,4,4,7,5,2,2,5,1,4,7,1,2,7,5,5,3,1,6,2,4,3,5,2,1,6,3,1,25,37,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,4,,TEXT,TEXT,1,2,1,Iaculis neque. Aliquet augue elementum euismod luctus mauris pellentesque pede.,155
2024-09-16 15:08:11,2024-09-16 15:08:11,2,,100,0,1,2024-09-16 15:08:11,R_7QH0pv96R91lWku,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.49,9.76,9.9,23,2,2,7,7,4,5,7,4,1,5,5,1,3,4,4,7,4,3,3,7,3,5,4,1,6,4,4,4,6,5,3,1,6,7,6,6,7,7,6,5,37,46,3,1,60,4,,TEXT,TEXT,3,5,5,Pretium scelerisque metus venenatis nibh quis? Commodo vulputate id nonummy.,199
2024-09-16 15:08:11,2024-09-16 15:08:11,2,,100,0,1,2024-09-16 15:08:11,R_bHiRvcp36nS4EyG,,,,,,,test,,1,5.84,8.98,6.1,36,3,1,2,4,2,6,2,7,3,4,5,3,5,2,2,7,7,6,7,2,3,1,2,4,6,5,6,7,1,4,6,5,2,5,4,7,5,5,7,6,3,44,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,2,,TEXT,TEXT,2,9,3,Integer egestas sed. Viverra egestas. Egestas tempus sapien tortor urna purus leo turpis. Phasellus nullam.,188
2024-09-16 15:08:11,2024-09-16 15:08:11,2,,100,0,1,2024-09-16 15:08:11,R_cUshl5vRAjIxkhw,,,,,,,test,,1,1.93,7.3,5.21,41,6,2,7,2,6,5,6,4,2,3,1,4,2,2,5,1,1,6,2,1,5,6,4,3,4,1,3,6,4,2,3,4,7,1,5,2,1,2,4,1,8,8,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,2,,TEXT,TEXT,2,2,10,"Accumsan ultrices, temporibus a. Eu cursus! Ligula blandit ut malesuada.",153
2024-09-16 15:08:11,2024-09-16 15:08:11,2,,100,0,1,2024-09-16 15:08:12,R_bQxffPzCvtA7ZSS,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,8.59,9.88,4,7,3,5,7,2,4,7,5,6,4,7,2,1,4,6,6,6,3,1,4,5,2,5,2,2,3,2,7,7,6,2,4,7,6,4,6,3,3,6,4,40,48,1,1,70,1,,TEXT,TEXT,3,1,4,"Viverra ante tempus luctus. Ligula! Porttitor dolor phasellus duis maecenas nulla imperdiet? Euismod! Eleifend, gravida.",186
2024-09-16 15:08:12,2024-09-16 15:08:12,2,,100,0,1,2024-09-16 15:08:12,R_baeky6ILaHWZJyu,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,8.37,9.39,19,4,2,3,6,4,2,7,6,5,6,4,1,3,1,5,4,3,6,4,5,2,7,2,7,7,7,1,6,3,7,4,7,2,4,2,5,1,5,1,2,5,16,7,4,35,4,,TEXT,TEXT,2,3,2,"Ipsum posuere magnis montes eros platea scelerisque bibendum in per orci. Bibendum, per.",175
2024-09-16 15:08:12,2024-09-16 15:08:12,2,,100,0,1,2024-09-16 15:08:12,R_czLXgYNRKKGnFLU,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,9.89,4.41,14,6,4,2,3,7,3,6,7,2,3,7,5,5,5,5,5,2,6,4,7,2,2,4,7,5,7,6,4,4,1,4,5,5,7,2,2,3,4,3,4,39,36,2,6,116,1,,TEXT,TEXT,2,9,10,Accusamus sem scelerisque platea! Elementum orci augue gravida quam. Proin diam auctor.,198
2024-09-16 15:08:12,2024-09-16 15:08:12,2,,100,0,1,2024-09-16 15:08:12,R_0DuQdZeXCnELznw,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,9.52,8.08,39,1,1,4,3,5,1,5,7,7,5,3,7,6,1,2,6,4,3,4,4,5,7,6,3,5,2,3,6,7,3,3,3,6,5,2,4,4,7,2,3,46,12,4,7,49,1,,TEXT,TEXT,1,4,3,Consequat vestibulum phasellus tempus? Etiam egestas praesent elementum! Auctor? Interdum pretium viverra.,175
2024-09-16 15:08:12,2024-09-16 15:08:12,2,,100,0,1,2024-09-16 15:08:13,R_3ZSdm6B9sZ3o6RE,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.71,9.02,37,7,6,3,6,6,1,5,1,3,2,5,2,5,7,1,5,6,3,2,7,1,5,4,7,4,3,5,6,4,6,3,3,3,7,7,7,1,3,2,5,3,35,4,7,117,3,Est nibh pretium malesuada. Elementum tincidunt. Sed ridiculus convallis. Sollicitudin. Morbi tincidunt faucibus.,TEXT,TEXT,4,7,2,Pretium? Luctus maecenas. In vitae cras consectetuer sem? Dui eros! Morbi phasellus. Cursus.,186
2024-09-16 15:08:13,2024-09-16 15:08:13,2,,100,0,1,2024-09-16 15:08:13,R_09ewJxrnfjh0UU6,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,8.33,9.19,46,3,6,3,7,1,7,4,6,6,3,5,2,4,3,5,6,3,5,3,4,3,1,3,3,4,5,6,4,3,6,1,3,7,1,7,3,1,2,3,5,44,18,5,3,63,1,,TEXT,TEXT,3,2,7,Ante lacus nulla maecenas nulla ligula dolorem arcu massa justo wisi temporibus.,171
2024-09-16 15:08:13,2024-09-16 15:08:13,2,,100,0,1,2024-09-16 15:08:13,R_dgLhZGBFLKd9jtc,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,5.58,6.96,47,7,3,3,3,2,1,1,2,7,7,7,1,6,7,4,1,1,4,1,3,4,7,2,1,3,1,6,5,7,5,5,1,1,4,5,5,1,5,5,2,50,1,2,7,50,3,Praesent a etiam eu etiam mattis? Mi iaculis! Odio vehicula imperdiet.,TEXT,TEXT,2,2,9,"Commodo bibendum eleifend auctor potenti tempus eleifend imperdiet sem venenatis? Mi ut, rutrum mi fermentum.",163
2024-09-16 15:08:13,2024-09-16 15:08:13,2,,100,0,1,2024-09-16 15:08:13,R_57TSMg5cG7rkoOW,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,3.08,6.47,38,6,5,5,3,3,5,6,7,1,2,2,3,6,5,3,1,2,4,2,4,3,3,5,3,6,7,5,5,6,2,2,2,5,2,6,2,4,2,3,2,45,50,6,6,25,4,,TEXT,TEXT,1,2,1,Vivamus consectetuer. Sollicitudin. Rutrum gravida magna nulla luctus suspendisse natoque. Tortor.,159
2024-09-16 15:08:13,2024-09-16 15:08:13,2,,100,0,1,2024-09-16 15:08:13,R_0xsWzA8ATEwP7BI,,,,,,,test,,1,7.57,7.63,9.75,43,7,3,6,7,5,5,5,1,1,4,5,1,3,5,5,3,3,4,5,1,2,6,5,3,7,1,4,6,1,2,5,4,1,4,5,7,3,4,6,7,45,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,4,,TEXT,TEXT,1,9,5,"Maecenas turpis viverra, porttitor mi. Ipsum duis placerat? Arcu maecenas. Maecenas egestas.",182
2024-09-16 15:08:14,2024-09-16 15:08:14,2,,100,0,1,2024-09-16 15:08:14,R_6g0vHF8qEpe8NWm,,,,,,,test,,1,6.9,8.29,7.71,2,1,2,3,1,3,2,5,7,5,4,2,3,4,1,6,4,7,7,5,4,3,6,7,7,2,4,1,7,4,3,7,5,7,5,3,6,2,7,4,2,49,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,3,Etiam gravida placerat etiam rhoncus neque fusce sit duis eros.,TEXT,TEXT,4,5,10,Consectetuer culpa maecenas metus turpis mattis elementum maecenas convallis molestie! Ac nullam.,191
