StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IC,Time_Vign_male_First_Click,Time_Vign_male_Last_Click,Time_Vign_male_Page_Submit,Time_Vign_male_Click_Count,W_AC_m_1,Ch_LoEf_m_1,Ch_LoEf_m_2,Ch_LoEf_m_3,Ch_LoEf_m_4,Ch_LoEf_m_5,Ch_LoEf_m_6,Ch_LoEf_m_7,Ch_LoEf_m_8,Ch_LoEf_m_9,Ch_LoEf_m_10,Ch_LoEf_m_11,Ch_LoEf_m_12,Ch_LoEf_m_13,Ch_LoEf_m_14,Ch_LoEf_m_15,Ch_HiEf_1,Ch_HiEf_2,Ch_HiEf_3,Ch_HiEf_4,Ch_HiEf_5,Ch_HiEf_6,Ch_HiEf_7,Ch_HiEf_8,Ch_HiEf_9,Ch_HiEf_10,Ch_HiEf_11,Ch_HiEf_12,Ch_HiEf_13,Ch_HiEf_14,Ch_HiEf_15,W_Ef_LoEf_m,W_Ef_HiEf_m,W_Qu_LoEf_m,W_Qu_HiEf_m,W_Dif_LoEf_m,W_Dif_HiEf_m,W_Val_LoEf_m,W_Val_HiEf_m,AC_m_2,Sal_LoEf_1,Sal_HiEf_1,W_Coop_LoEf_m,W_Coop_HiEf_m,Time_Vign_female_First_Click,Time_Vign_female_Last_Click,Time_Vign_female_Page_Submit,Time_Vign_female_Click_Count,W_AC_f_1,Ch_LoEf_f_1,Ch_LoEf_f_2,Ch_LoEf_f_3,Ch_LoEf_f_4,Ch_LoEf_f_5,Ch_LoEf_f_6,Ch_LoEf_f_7,Ch_LoEf_f_8,Ch_LoEf_f_9,Ch_LoEf_f_10,Ch_LoEf_f_11,Ch_LoEf_f_12,Ch_LoEf_f_13,Ch_LoEf_f_14,Ch_LoEf_f_15,Ch_HiEf_1.0,Ch_HiEf_2.0,Ch_HiEf_3.0,Ch_HiEf_4.0,Ch_HiEf_5.0,Ch_HiEf_6.0,Ch_HiEf_7.0,Ch_HiEf_8.0,Ch_HiEf_9.0,Ch_HiEf_10.0,Ch_HiEf_11.0,Ch_HiEf_12.0,Ch_HiEf_13.0,Ch_HiEf_14.0,Ch_HiEf_15.0,W_Ef_LoEf_f,W_Ef_HiEf_f,W_Qu_LoEf_f,W_Qu_HiEf_f,W_Dif_LoEf_f,W_Dif_HiEf_f,W_Val_LoEf_f,W_Val_HiEf_f,W_AC_f_2,W_Sal_LoEf_f_1,W_Sal_HiEf_f_1,W_Coop_LoEf_f,W_Coop_HiEf_f,Age,Gen,Gen_3_TEXT,Nat,Cou,Lan,Edu,Lad,FB,SC0
2024-09-16 15:57:19,2024-09-16 15:57:19,2,,100,0,1,2024-09-16 15:57:19,R_3aOlUJqZqsrwLuS,,,,,,,test,,1,5.41,7.6,9.5,22,3,3,6,2,6,3,5,3,4,2,3,5,6,4,2,4,1,1,3,4,3,1,1,1,4,5,3,1,4,7,6,3,1,3,3,3,1,2,5,5,14,13,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,3,"Viverra auctor ligula luctus lorem non, augue? Amet per. Sodales tempor temporibus.",TEXT,TEXT,2,8,1,Sodales! Wisi temporibus neque etiam dictumst ultrices montes bibendum! Enim.,147
2024-09-16 15:57:19,2024-09-16 15:57:19,2,,100,0,1,2024-09-16 15:57:19,R_79EBMKCzTV1y0pU,,,,,,,test,,1,1.23,2.42,3.02,2,7,7,7,3,7,3,7,4,2,2,6,5,1,5,5,4,4,1,1,1,5,2,7,6,7,6,4,5,4,4,4,3,3,3,2,7,5,2,1,1,14,17,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,1,,TEXT,TEXT,2,3,6,Platea montes! Posuere wisi fringilla commodo dolorem. Eu ac egestas. Ab. Mattis.,176
2024-09-16 15:57:20,2024-09-16 15:57:20,2,,100,0,1,2024-09-16 15:57:20,R_3pyOcLJabgYyD5A,,,,,,,test,,1,4.01,9.59,6.35,50,6,3,2,2,5,5,1,2,5,6,3,7,2,5,7,2,5,3,4,5,4,2,5,6,3,2,1,7,4,7,2,4,7,6,6,2,3,5,4,2,33,16,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,,TEXT,TEXT,2,3,9,Gravida tempora turpis imperdiet metus nonummy proin aliquam imperdiet egestas natoque aliquet.,178
2024-09-16 15:57:20,2024-09-16 15:57:20,2,,100,0,1,2024-09-16 15:57:20,R_2uz1hIfhNIg2kES,,,,,,,test,,1,2.45,4.41,5.7,32,6,2,7,1,4,7,3,3,2,1,7,7,7,2,4,6,3,7,3,1,3,5,5,3,3,6,1,1,6,2,7,5,5,6,2,4,2,4,1,2,15,12,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,3,Duis? Non tortor potenti at dignissim morbi turpis leo massa.,TEXT,TEXT,3,4,4,"Dui vestibulum placerat! Placerat cras justo arcu, ut vitae erat lacus accusamus augue.",171
2024-09-16 15:57:20,2024-09-16 15:57:20,2,,100,0,1,2024-09-16 15:57:20,R_8CgK4PNJKKXOyTI,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,7.21,4.95,14,1,2,5,5,7,3,7,7,7,3,6,4,2,1,1,7,2,4,5,1,1,1,2,5,4,2,5,2,5,5,3,6,1,2,3,4,5,5,2,5,18,27,3,1,72,1,,TEXT,TEXT,1,8,6,Nullam eros duis tempor interdum? Temporibus? Temporibus ligula lacus in lectus.,165
2024-09-16 15:57:20,2024-09-16 15:57:20,2,,100,0,1,2024-09-16 15:57:20,R_39GXa6MuyJ71kIC,,,,,,,test,,1,8.84,9.91,8.95,29,5,5,1,6,1,2,5,5,3,5,4,4,3,3,7,4,6,4,7,2,7,7,7,1,2,4,2,4,2,3,2,7,2,7,5,6,6,1,3,1,12,20,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,2,,TEXT,TEXT,4,5,1,"Suspendisse mattis. Dignissim? Amet. At egestas tortor. Natoque metus suspendisse cursus, scelerisque facilisis.",174
2024-09-16 15:57:20,2024-09-16 15:57:21,2,,100,1,1,2024-09-16 15:57:21,R_e9xvy0G4Ua3SYho,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,7.72,9.07,34,2,3,3,7,7,7,4,2,6,6,7,5,2,6,2,3,3,5,6,2,5,3,5,5,7,7,5,1,4,6,4,2,6,5,7,2,4,4,1,2,12,33,3,4,110,4,,TEXT,TEXT,3,5,6,"Dapibus! Risus elementum vehicula nibh? Odio odio ut. Accumsan nunc vulputate, egestas suscipit, enim mi.",192
2024-09-16 15:57:21,2024-09-16 15:57:21,2,,100,0,1,2024-09-16 15:57:21,R_bJhMDVvrCH1D0sC,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,4.19,3.93,20,1,3,2,2,6,4,7,6,7,3,1,7,3,5,2,6,1,4,3,6,5,1,2,6,5,5,7,7,7,5,1,5,2,3,6,3,7,1,1,1,32,13,5,2,110,3,"Tortor aliquet dictumst, facilisi purus turpis dolorem massa, porta iaculis purus curabitur posuere purus.",TEXT,TEXT,1,4,10,"Ultrices pede arcu. Morbi commodo. Egestas arcu. Wisi in, cras purus wisi. Tincidunt dolorem.",178
2024-09-16 15:57:21,2024-09-16 15:57:21,2,,100,0,1,2024-09-16 15:57:21,R_a2vIzBZYemE1no2,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,9.71,6.9,19,6,5,1,6,1,7,2,6,6,1,3,2,6,3,6,6,1,3,6,1,4,5,2,5,2,7,6,4,1,4,3,1,6,4,3,7,5,6,1,6,21,14,6,6,105,4,,TEXT,TEXT,4,4,2,Pede! Nec laoreet nibh sodales luctus diam? Natoque dolor diam justo pellentesque ab donec.,175
2024-09-16 15:57:21,2024-09-16 15:57:21,2,,100,0,1,2024-09-16 15:57:21,R_1z57pSM8BeAVQHQ,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.43,7.85,25,5,6,4,4,2,7,7,4,3,6,2,1,1,1,1,7,6,7,7,6,3,6,2,6,3,2,5,4,7,6,1,7,3,1,7,6,6,2,5,5,14,30,5,1,46,4,,TEXT,TEXT,3,5,8,"Euismod auctor tempus lectus massa? Volutpat. Praesent tincidunt ac, tellus porta? Vulputate.",195
